Date,Message
2026-06-28T03:00:00.000-03:00,"CSV=1782626400000,0.008191,0.008211,0.008052,0.008129,20864756,0.00800168,0.008197036539691,0.007806323460309,2.383258129261077,4.882888085768975,23.376959605625853,14.89294860916469,18.259972915775645,0.008235,5.407157676348557,19197509.6,1.086847014781542,5.964693325900233,0.007593633579553,-1,0.007945794854852,0.000179509926134"
2026-06-28T04:00:00.000-03:00,"CSV=1782630000000,0.008133,0.00819,0.008013,0.008071,17394913,0.00800992,0.008199244572098,0.007820595427902,2.309048967045726,4.727252509327727,21.914826170690137,15.339585874392574,18.21927880903185,0.008235,4.303437580770225,20142173.2,0.863606564558784,5.215287865574201,0.007593633579553,-1,0.007947040677192,0.000179258933521"
2026-06-28T05:00:00.000-03:00,"CSV=1782633600000,0.008075,0.008128,0.007989,0.00802,19227938,0.00801466,0.008201190170214,0.007828129829786,2.274428056687139,4.654724472743848,20.81918710840373,15.435906944402218,17.99454965287044,0.008235,4.06124302582067,20798521.4,0.924485814650267,4.728379099455646,0.007593633579553,-1,0.007947766640603,0.000175233040169"
2026-06-28T06:00:00.000-03:00,"CSV=1782637200000,0.008021,0.008072,0.007888,0.007914,16167924,0.00801706,0.008201495832744,0.007832624167256,2.248807248155034,4.60108400695211,19.44068543801059,18.04836875395533,17.04250824553136,0.008235,2.287708414113987,21722849.2,0.74428192412255,3.719819406399799,0.007593633579553,-1,0.007947430654129,0.000176109736152"
2026-06-28T07:00:00.000-03:00,"CSV=1782640800000,0.007917,0.007974,0.0079,0.007937,13896637,0.00801552,0.00820029610668,0.00783074389332,2.253285787201751,4.610458377754291,18.901404916202683,17.547710803882012,16.153936265348214,0.008235,1.587098425700744,19334019.8,0.718766047813813,2.860130425244015,0.007593633579553,-1,0.007947326866526,0.000165898762537"
2026-06-28T08:00:00.000-03:00,"CSV=1782644400000,0.007938,0.008064,0.007929,0.007962,16878763,0.00801482,0.008199731188412,0.007829908811588,2.255088418913957,4.614231845804491,21.358086586005015,16.64519006183938,15.903759843722561,0.008235,0.428859737638762,19654159,0.858788361282719,2.02952020059832,0.007593633579553,-1,0.007947472867854,0.000162808886283"
2026-06-28T09:00:00.000-03:00,"CSV=1782648000000,0.00796,0.008075,0.007934,0.00801,16176240,0.0080148,0.008199711654581,0.007829888345419,2.255099476307088,4.614254992792104,20.62029249666996,15.739309449364104,15.738455370612908,0.008235,0.375939849624067,19814158.6,0.816398027620512,1.455318984311227,0.007593633579553,-1,0.007948095028373,0.000160627997655"
2026-06-28T10:00:00.000-03:00,"CSV=1782651600000,0.008007,0.008062,0.007803,0.007866,24826936,0.00800964,0.008195031559678,0.007824248440322,2.262243388914674,4.629210792951826,18.62534941041765,19.109945447821495,14.774838236517843,0.008235,-2.285714285714287,20302271.4,1.222864945052405,0.038506031405652,0.007593633579553,-1,0.007947278162419,0.000170465197889"
2026-06-28T11:00:00.000-03:00,"CSV=1782655200000,0.007866,0.007942,0.00785,0.007913,13817149,0.00800864,0.008194414891737,0.007822865108263,2.267091600700724,4.639361782703232,17.96391326371978,18.43129999521357,13.875462244695777,0.008235,-3.181206411354458,19476348.9,0.709432197530616,-0.726612730798125,0.007593633579553,-1,0.007946937086176,0.0001626186781"
2026-06-28T12:00:00.000-03:00,"CSV=1782658800000,0.007914,0.007949,0.00782,0.00788,16180246,0.00800744,0.008193847098577,0.007821032901423,2.274964327921897,4.655847526227912,17.05404999233289,18.675659227441237,13.253001151734198,0.008235,-3.808593749999997,17543150.2,0.922311318978504,-1.655311528870678,0.007593633579553,-1,0.007946271045517,0.00015925681029"
2026-06-28T13:00:00.000-03:00,"CSV=1782662400000,0.007881,0.008011,0.007825,0.007948,22563802,0.00799688,0.008170994288902,0.007822765711098,2.130882518652265,4.354555499202037,18.235401404889295,17.320408142573573,12.54102775276,0.008235,-2.226596137286266,17713054.8,1.273851532373738,-2.048991986400304,0.007593633579553,-1,0.007946288249044,0.000161931129261"
2026-06-28T14:00:00.000-03:00,"CSV=1782666000000,0.007948,0.007998,0.007755,0.007781,20283106,0.0079871,0.008159321746594,0.007814878253406,2.110736062909792,4.312497567182206,16.55388780930436,18.379565604789185,12.05336983130503,0.008235,-3.593111138644534,18001874.1,1.126721911692517,-2.715473674619283,0.007593633579553,-1,0.00794464358985,0.000170038016335"
2026-06-28T15:00:00.000-03:00,"CSV=1782669600000,0.007781,0.007797,0.007627,0.007751,24998351,0.00797606,0.008145345133429,0.007806774866571,2.078305224094986,4.244830992460275,15.483686919081007,22.05906403826682,12.41743665275881,0.008235,-3.354114713216949,18578915.4,1.345522623995586,-3.314661526449479,0.007593633579553,-1,0.007942716787961,0.000170034214702"
2026-06-28T16:00:00.000-03:00,"CSV=1782673200000,0.007754,0.007761,0.007641,0.007664,12390990,0.00796712,0.008140789184371,0.007793450815629,2.133321235047424,4.359647761565596,14.761909347976957,21.0307729248145,12.757232352782339,0.008235,-3.158958807177147,18201222,0.680777916999199,-2.926624149845097,0.007593633579553,-1,0.007939943486588,0.000165030793231"
2026-06-28T17:00:00.000-03:00,"CSV=1782676800000,0.007663,0.007712,0.007638,0.007653,10001582,0.0079554,0.008130095964464,0.007780704035536,2.148756487345535,4.391883864138426,14.320835750382992,20.52352265717255,13.093491692547815,0.008235,-3.578178152954511,17811716.5,0.561517021675031,-2.620818746386624,0.007593633579553,-1,0.007937088327518,0.000155927713908"
2026-06-28T18:00:00.000-03:00,"CSV=1782680400000,0.007653,0.007698,0.0076,0.007654,9675985,0.00794308,0.008116873767437,0.007769286232563,2.141141681101641,4.375979278491444,13.738381679433518,21.26586372126386,13.654224454064472,0.008235,-3.86837478020598,17091438.7,0.566130515390726,-2.477214166938582,0.007593633579553,-1,0.007934271528239,0.000150134942517"
2026-06-28T19:00:00.000-03:00,"CSV=1782684000000,0.007654,0.007774,0.007654,0.007752,15138178,0.00793418,0.008106127048826,0.007762232951174,2.121198542661057,4.334336978136371,16.250687888608468,20.188609692603094,13.464396119253491,0.008235,-3.22097378277153,16987632.5,0.891129355429605,-2.608244208258004,0.007593633579553,-1,0.007932457881192,0.000147121448266"
2026-06-28T20:00:00.000-03:00,"CSV=1782687600000,0.007751,0.007873,0.007741,0.007805,21142828,0.00792514,0.008091673961701,0.007758606038299,2.058090359170645,4.202675579265381,19.560550148397837,19.051208846573306,12.654712057552556,0.008235,-0.77548944825832,16619221.7,1.272191224213586,-2.06768642902016,0.007593633579553,-1,0.007931189643568,0.000145609303439"
2026-06-28T21:00:00.000-03:00,"CSV=1782691200000,0.007802,0.00787,0.007661,0.00775,14007329,0.0079152,0.008076991099879,0.007753408900121,2.003111033280255,4.088111478641983,17.854146369561867,20.728453915849798,12.307714635693687,0.008235,-2.059901428029824,16638239.7,0.841875658276518,-1.956517909582556,0.007593633579553,-1,0.007929386761542,0.000151948373095"
2026-06-28T22:00:00.000-03:00,"CSV=1782694800000,0.007745,0.007848,0.007682,0.007786,16814660,0.00790692,0.008064461847139,0.007749378152861,1.953532053659401,3.984910613462467,16.620290650363618,19.295961939766812,11.983850375292077,0.008211,-1.192893401015222,16701681.1,1.00676452264437,-1.704666191534607,0.007593633579553,-1,0.007927960027597,0.000153353535786"
2026-06-28T23:00:00.000-03:00,"CSV=1782698400000,0.007787,0.007813,0.007658,0.007737,8324155,0.007899,0.008054922801411,0.007743077198589,1.935745447293644,3.94791242970851,15.545516350358819,19.049447754653972,11.8601565857399,0.00819,-2.654755913437346,15277716.4,0.544855970752278,-1.618597331131823,0.007593633579553,-1,0.00792605992782,0.000153518182207"
2026-06-29T00:00:00.000-03:00,"CSV=1782702000000,0.007737,0.008019,0.007725,0.007996,21551030,0.00789632,0.008049374557593,0.007743265442407,1.901446584424057,3.87660473721552,21.878523366895493,16.836778448209454,11.937653850761382,0.008128,2.763140984449299,15404508.8,1.399007932015333,0.209487164085859,0.007593633579553,-1,0.007926755848936,0.000167566363986"
2026-06-29T01:00:00.000-03:00,"CSV=1782705600000,0.007995,0.008013,0.007923,0.00798,16187167,0.00789262,0.008041308518723,0.007743931481277,1.84905874928748,3.767786076680251,21.07560289537618,16.218885098470974,12.009984631448102,0.008075,2.954457489356201,14523390.4,1.114558416056901,1.237296595938672,0.007593633579553,-1,0.007927285641484,0.000159809727588"
2026-06-29T02:00:00.000-03:00,"CSV=1782709200000,0.00798,0.007986,0.007855,0.007932,16982346,0.00788972,0.00803618146797,0.00774325853203,1.822525642977831,3.712716496149035,19.934681225886347,18.15092650403084,11.521554998030561,0.008075,3.496868475991649,14982526,1.133476824935929,2.146070856420966,0.007593633579553,-1,0.007927332550524,0.000156928754829"
2026-06-29T03:00:00.000-03:00,"CSV=1782712800000,0.007925,0.008065,0.007903,0.008018,19403015,0.0078884,0.00803339462059,0.00774340537941,1.804898519711326,3.676147776218011,21.864224570299285,16.93614720170864,11.600191906997606,0.008075,4.769371488305249,15922669.3,1.218578030757695,3.367997676337612,0.007593633579553,-1,0.0079282347142,0.000157435879346"
2026-06-29T04:00:00.000-03:00,"CSV=1782716400000,0.008018,0.00815,0.007935,0.008143,17031798,0.00789018,0.008037720596447,0.007742639403553,1.835602453165782,3.739853753577036,23.399752615168598,15.464446073947938,12.188048259074492,0.00815,6.388816305199883,16658250.6,1.022424167397266,4.422691848057763,0.007593633579553,-1,0.007930371682218,0.000163192291411"
2026-06-29T05:00:00.000-03:00,"CSV=1782720000000,0.008145,0.008178,0.007958,0.007972,24280964,0.00788882,0.008035282785717,0.007742357214283,1.822745877433776,3.71317347123648,22.471434290397955,14.119310845428544,12.897230458928775,0.008178,2.837977296181627,17572529.2,1.381756930015516,4.255592830780395,0.007593633579553,-1,0.007930785894335,0.00016887306227"
2026-06-29T06:00:00.000-03:00,"CSV=1782723600000,0.007969,0.008271,0.007948,0.008198,24326099,0.00789106,0.008041328347964,0.007740791652036,1.868700561175317,3.808571927329393,23.232242189322132,12.419919424201849,14.059232244514217,0.008271,5.035233824471495,17890856.3,1.359694504952231,5.119188474614762,0.007593633579553,-1,0.007933444741158,0.000184285756043"
2026-06-29T07:00:00.000-03:00,"CSV=1782727200000,0.008199,0.008212,0.008066,0.008111,17448217,0.00789124,0.008041766085447,0.007740713914553,1.871803828257165,3.815017296315447,21.952625356061077,11.73583831685789,15.143767244393963,0.008271,4.658064516129035,18234945.1,0.956856020367179,4.898491341582108,0.007597628458683,-1,0.007935211460151,0.000180457180439"
2026-06-29T08:00:00.000-03:00,"CSV=1782730800000,0.008111,0.008153,0.007998,0.008144,18740576,0.007893,0.008045937372803,0.007740062627197,1.900802426329023,3.87526600286724,20.65835046830575,13.630449569728473,15.500596068555389,0.008271,4.597996403801693,18427536.7,1.016987582502007,4.824362643406473,0.007597628458683,-1,0.00793728895806,0.000177911462395"
2026-06-29T09:00:00.000-03:00,"CSV=1782734400000,0.008147,0.008225,0.008056,0.008116,18157835,0.00789688,0.008052933021758,0.007740826978242,1.937840800821875,3.952270308235506,22.07242116727306,12.752151832557459,16.25145532368189,0.008271,4.89853948558873,19410904.7,0.935445064546631,4.743679957364572,0.007609439051533,-1,0.007939067177383,0.000177020316156"
2026-06-29T10:00:00.000-03:00,"CSV=1782738000000,0.008115,0.00817,0.007968,0.008057,19656685,0.00789944,0.008057041162432,0.007741838837568,1.956067485008559,3.990185694988234,20.38984978493436,15.100953230420757,16.161502359184652,0.008271,0.762881440720364,19221470.2,1.022642118187193,3.422504869064372,0.007609439051533,-1,0.007940240638304,0.00017951828454"
2026-06-29T11:00:00.000-03:00,"CSV=1782741600000,0.008057,0.008199,0.007936,0.008074,21856903,0.0079035,0.008062920481745,0.007744079518255,1.977205183981711,4.034174270776074,18.430025796511707,14.818977478261917,15.808110285875928,0.008271,1.177944862155393,19788443.8,1.104528644137241,2.715361193197889,0.007609439051533,-1,0.007941571577227,0.000187866456086"
2026-06-29T12:00:00.000-03:00,"CSV=1782745200000,0.008072,0.008339,0.008,0.008131,27985151,0.0079118,0.008072043564613,0.007751556435387,1.985167242104751,4.050748618850943,21.109844757328112,13.082387731753483,16.319398184442733,0.008339,2.508825012607155,20888724.3,1.339725231569072,2.930619519125727,0.007609439051533,-1,0.007943456437155,0.000202979810477"
2026-06-29T13:00:00.000-03:00,"CSV=1782748800000,0.008131,0.008229,0.008071,0.008228,12884934,0.00791992,0.008085601723796,0.007754238276204,2.049095781062109,4.183924175895325,19.94280449730634,12.35913877584294,16.79660022310508,0.008339,2.619107009229214,20236916.2,0.636704420409667,2.509612016184545,0.007609439051533,-1,0.007946287716387,0.00019848182943"
2026-06-29T14:00:00.000-03:00,"CSV=1782752400000,0.008227,0.008428,0.008223,0.008278,31961971,0.00792844,0.008101211543953,0.007755668456047,2.132663034605258,4.358273353977864,25.44745524553889,11.477090033805323,18.199153619171472,0.008428,1.657865651479817,21729933.5,1.470872932031752,2.485911248025313,0.00772809906054,-1,0.007949588336125,0.000199133646487"
2026-06-29T15:00:00.000-03:00,"CSV=1782756000000,0.008277,0.008404,0.0082,0.00821,17615708,0.0079356,0.00811242590308,0.00775877409692,2.179692057495996,4.456522583791407,23.648010500561696,11.462765146440974,19.299552998079296,0.008428,2.985449071751134,21063407.9,0.836318039494454,2.489535803582691,0.00772809906054,-1,0.007952179496959,0.000199620281838"
2026-06-29T16:00:00.000-03:00,"CSV=1782759600000,0.008206,0.00828,0.00816,0.008171,10791698,0.00794482,0.008121661023521,0.007767978976479,2.177399709354604,4.451731405391461,22.639066697679297,12.395874265161902,19.962054553738778,0.008428,-0.32934862161504,19709967.8,0.547524892455684,1.599581679511727,0.00772809906054,-1,0.007954356815397,0.000191658253654"
2026-06-29T17:00:00.000-03:00,"CSV=1782763200000,0.008172,0.0082,0.00813,0.008153,9362005,0.0079531,0.008129802376894,0.007776397623106,2.173513803928072,4.443610086478495,22.051060549964898,13.18704703913057,20.30822585811763,0.008428,0.517815312538533,18901346.6,0.495308889790953,1.151880628864556,0.00772809906054,-1,0.007956333364498,0.000179492428289"
2026-06-29T18:00:00.000-03:00,"CSV=1782766800000,0.008155,0.008358,0.008111,0.008318,10483954,0.00796486,0.008145837900308,0.007783882099692,2.221722338732092,4.544408823458268,25.798994325955764,12.007938117316186,21.386183185512813,0.008428,2.136542239685665,18075684.4,0.58000315606307,1.180987499936286,0.00772809906054,-1,0.007959932037488,0.00018624318546"
2026-06-29T19:00:00.000-03:00,"CSV=1782770400000,0.00832,0.008541,0.00827,0.008301,31432893,0.00797664,0.008159930126302,0.007793349873698,2.246221762507914,4.59567252132339,29.76790458658117,10.865835666031746,23.061648407520195,0.008541,2.279448003942822,19403190.2,1.619985820682209,2.018216148414103,0.007821343399258,-1,0.007963325748558,0.000194718866914"
