Date,Message
2026-07-01T06:00:00.000-03:00,"CSV=1782896400000,0.007176,0.00718,0.007056,0.007079,18384896,0.0077162,0.0081857354,0.0072466646,5.7360201046,12.1701207841,8.244869088,32.2150148359,46.0698960892,0.007772,-6.238410596,23655629.3,0.7771890473,-2.3029706837,0.0077897834,1,0.0078242845,0.0002239278"
2026-07-01T07:00:00.000-03:00,"CSV=1782900000000,0.007076,0.007255,0.007003,0.007078,39302549,0.00769832,0.0081747454,0.0072218946,5.8280148531,12.377385576,9.7582597381,29.9491868202,46.3885177211,0.007772,-3.6220043573,23702973.3,1.6581273793,-3.5372286534,0.0077897834,1,0.0078168587,0.000226735"
2026-07-01T08:00:00.000-03:00,"CSV=1782903600000,0.007082,0.007115,0.007052,0.00709,12757319,0.00767616,0.0081545924,0.0071977276,5.8670298894,12.4654090539,9.5778174221,29.3953892397,46.6858979108,0.007772,-2.368493528,20154512,0.6329758319,-2.8578854894,0.0077145846,1,0.0078096263,0.0002103615"
2026-07-01T09:00:00.000-03:00,"CSV=1782907200000,0.007085,0.007197,0.006974,0.006998,25516246,0.0076539,0.0081374477,0.0071703523,5.9422520546,12.635327093,11.359878265,27.4690316607,46.3393396624,0.007772,-3.0345018706,21681958.1,1.1768423259,-3.0956337393,0.0077145846,1,0.0078015504,0.0002116254"
2026-07-01T10:00:00.000-03:00,"CSV=1782910800000,0.007001,0.007157,0.006926,0.00703,30608442,0.00763162,0.0081177301,0.0071455099,5.9882511663,12.7393676654,10.589666226,27.0154552438,46.1620276525,0.007772,-2.5235718247,23179936.6,1.3204713424,-3.1745239179,0.0076821885,1,0.0077938733,0.0002135628"
2026-07-01T11:00:00.000-03:00,"CSV=1782914400000,0.007022,0.007184,0.006993,0.007104,18734010,0.00761138,0.0080979687,0.0071247913,6.0087742035,12.7858194264,10.7906142547,25.4847166057,45.7850357477,0.007772,-1.4701803051,21981516.5,0.8522619447,-2.5340088539,0.0076821885,1,0.0077870089,0.0002113066"
2026-07-01T12:00:00.000-03:00,"CSV=1782918000000,0.007106,0.007165,0.007048,0.007088,13161735,0.007592,0.0080797499,0.0071042501,6.0366949811,12.8490477851,10.4037192726,24.5709679773,45.4331766365,0.007772,-2.3422430422,20680947.6,0.6364183719,-2.1862214038,0.0076821885,1,0.0077800536,0.0002018759"
2026-07-01T13:00:00.000-03:00,"CSV=1782921600000,0.00709,0.007123,0.006992,0.007005,17212772,0.00757062,0.0080601991,0.0070810409,6.0740325833,12.933659882,9.9746823574,25.3205707725,45.3028727528,0.007772,-3.6186020914,20310785.6,0.8474695336,-2.4796992781,0.0076418649,1,0.0077723416,0.0001947883"
2026-07-01T14:00:00.000-03:00,"CSV=1782925200000,0.007005,0.007035,0.006862,0.00701,21746504,0.0075482,0.008037271,0.007059129,6.0850380319,12.958612567,9.4247444576,28.0675326093,45.5976373834,0.007772,-4.1564123599,21470277.9,1.0128655112,-3.0564284285,0.0075263284,1,0.0077647561,0.0001926095"
2026-07-01T15:00:00.000-03:00,"CSV=1782928800000,0.007012,0.007108,0.006835,0.00689,41410157,0.00752144,0.0080091862,0.0070336938,6.0898343439,12.9694890886,10.9011820731,25.674259455,45.2505083194,0.007645,-3.9721254355,23883463,1.7338422405,-4.333298574,0.0075263284,1,0.0077560521,0.0002006485"
2026-07-01T16:00:00.000-03:00,"CSV=1782932400000,0.00689,0.006924,0.006821,0.006832,10597164,0.00749252,0.0079774106,0.0070076294,6.0782950928,12.943323588,10.5379517959,25.2716831302,44.9767811507,0.007556,-3.4891933889,23104689.8,0.4586585707,-3.4223152002,0.007445151,1,0.0077468575,0.0001908837"
2026-07-01T17:00:00.000-03:00,"CSV=1782936000000,0.006831,0.006887,0.006805,0.006853,8765138,0.00746538,0.0079473203,0.0069834397,6.0641859782,12.9113396021,10.2467236643,25.1125132114,44.7811402318,0.007369,-3.1788640859,20050948.7,0.4371433058,-2.7447498519,0.0073859859,1,0.0077379634,0.0001799953"
