Date,Message
2026-06-07T18:00:00.000-03:00,"CLOSED=1780866000000,id=DCA-3,entry_time=1779134400000,entry_price=0.005282,exit_price=0.007619,size=870552.611,profit=2023.2504526720004,commission=11.230999235,exit_comment=🏁 Exit"
2026-06-07T19:00:00.000-03:00,"ENTRY=1780869600000,id=Entry,price=0.007703,size=129836.406,comment=🚀 Re-Entry"
2026-06-08T02:00:00.000-03:00,"STATE=1780894800000,level=0,ep1=na,total_inv=0,close=0.007877"
2026-06-08T02:00:00.000-03:00,"CLOSED=1780894800000,id=Entry,entry_time=1780869600000,entry_price=0.007703,exit_price=0.008106,size=129836.406,profit=50.27148787600007,commission=2.052583742,exit_comment=🏁 Exit"
2026-06-08T03:00:00.000-03:00,"STATE=1780898400000,level=1,ep1=0.008306,total_inv=1000,close=0.008306"
2026-06-08T04:00:00.000-03:00,"ENTRY=1780902000000,id=Entry,price=0.008304,size=120394.895,comment=🚀 Re-Entry"
2026-06-08T13:00:00.000-03:00,"CLOSED=1780934400000,id=Entry,entry_time=1780902000000,entry_price=0.008304,exit_price=0.008819,size=120394.895,profit=59.941849137900185,commission=2.0615217871,exit_comment=🏁 Exit"
2026-06-08T14:00:00.000-03:00,"ENTRY=1780938000000,id=Entry,price=0.009416,size=106292.517,comment=🚀 Re-Entry"
2026-06-10T09:00:00.000-03:00,"STATE=1781092800000,level=2,ep1=0.009408,total_inv=3200,close=0.006482"
2026-06-10T10:00:00.000-03:00,"ENTRY=1781096400000,id=DCA-1,price=0.006482,size=339401.419,comment=DCA-1"
2026-06-12T23:00:00.000-03:00,"STATE=1781316000000,level=3,ep1=0.009408,total_inv=6600,close=0.005568"
2026-06-13T00:00:00.000-03:00,"ENTRY=1781319600000,id=DCA-2,price=0.005567,size=610632.183,comment=DCA-2"
2026-06-14T02:00:00.000-03:00,"STATE=1781413200000,level=4,ep1=0.009408,total_inv=11200,close=0.005393"
2026-06-14T03:00:00.000-03:00,"ENTRY=1781416800000,id=DCA-3,price=0.005396,size=852957.537,comment=DCA-3"
2026-06-15T13:00:00.000-03:00,"STATE=1781539200000,level=5,ep1=0.009408,total_inv=16200,close=0.005536"
2026-06-16T14:00:00.000-03:00,"STATE=1781629200000,level=0,ep1=na,total_inv=0,close=0.006387"
